0.740000	1.360000
0.740000	1.360000
0.740000	1.360000
0.500000	0.880000
0.510000	0.880000
0.850000	1.390000
0.860000	1.390000
0.860000	1.390000
0.870000	1.390000
0.890000	1.400000
0.890000	1.400000
0.910000	1.400000
0.940000	1.400000
1.450000	2.110000
1.450000	2.110000
1.460000	2.110000
1.480000	2.100000
1.500000	2.100000
1.520000	2.100000
1.700000	2.110000
1.700000	2.110000
1.700000	2.110000
1.660000	2.000000
1.570000	1.880000
0.860000	0.970000
1.630000	1.780000
1.650000	1.790000
1.660000	1.790000
1.710000	1.810000
1.710000	1.810000
1.710000	1.810000
1.690000	1.770000
1.690000	1.750000
1.710000	1.730000
1.710000	1.730000
1.710000	1.720000
1.560000	1.440000
1.560000	1.430000
1.560000	1.420000
1.560000	1.400000
1.560000	1.400000
1.570000	1.390000
1.570000	1.380000
1.570000	1.370000
1.580000	1.360000
1.580000	1.350000
1.580000	1.340000
1.580000	1.330000
1.590000	1.320000
1.590000	1.310000
1.590000	1.300000
1.590000	1.290000
1.600000	1.280000
1.600000	1.270000
1.600000	1.260000
1.600000	1.250000
1.600000	1.240000
1.600000	1.230000
1.610000	1.220000
1.610000	1.210000
1.610000	1.200000
1.610000	1.190000
1.610000	1.180000
1.610000	1.180000
1.620000	1.170000
1.620000	1.160000
1.620000	1.150000
1.620000	1.140000
1.630000	1.130000
1.630000	1.120000
1.630000	1.070000
1.630000	1.060000
1.650000	1.050000
1.650000	1.040000
1.680000	1.020000
1.710000	1.010000
1.740000	1.010000
1.760000	1.010000
1.780000	1.020000
1.810000	1.020000
1.840000	1.030000
1.860000	1.040000
1.890000	1.040000
1.920000	1.050000
1.950000	1.050000
1.980000	1.060000
2.020000	1.070000
2.060000	1.070000
5.340000	1.070000
5.340000	1.070000
5.340000	-0.930000
5.340000	-0.930000
1.780000	-0.930000
1.780000	-0.980000
1.780000	-1.010000
1.780000	-1.020000
1.770000	-1.020000
1.770000	-0.990000
1.770000	-0.980000
0.890000	-0.980000
0.780000	-0.980000
0.780000	-1.560000
0.770000	-1.560000
0.760000	-1.560000
0.750000	-1.560000
0.750000	-1.560000
0.740000	-1.560000
0.730000	-1.560000
0.720000	-1.560000
0.710000	-1.560000
0.710000	-1.570000
0.700000	-1.570000
0.690000	-1.570000
0.690000	-1.570000
0.680000	-1.090000
0.660000	-1.090000
0.440000	-1.090000
0.430000	-1.090000
0.540000	-1.090000
0.540000	-1.100000
0.540000	-1.130000
0.520000	-1.130000
0.290000	-1.130000
0.290000	-1.130000
0.280000	-1.130000
0.330000	-1.130000
0.330000	-1.140000
0.330000	-1.430000
0.320000	-1.440000
0.280000	-1.650000
0.280000	-1.650000
0.270000	-1.650000
0.260000	-1.650000
0.260000	-1.650000
0.250000	-1.650000
0.240000	-1.160000
0.220000	-1.160000
0.380000	-1.160000
0.380000	-0.800000
0.380000	-0.800000
0.330000	-0.800000
0.330000	-0.800000
0.330000	-0.800000
0.060000	-0.800000
-0.270000	-1.220000
-0.270000	-1.220000
-0.270000	-1.220000
-0.860000	-3.500000
-0.870000	-3.460000
-0.880000	-3.420000
-0.880000	-3.380000
-0.890000	-3.340000
-0.900000	-3.290000
-0.900000	-3.250000
-0.910000	-3.100000
-0.930000	-3.070000
-0.930000	-3.050000
-0.930000	-3.020000
-0.940000	-2.990000
-0.940000	-2.950000
-0.590000	-1.690000
-0.590000	-1.690000
-0.590000	-1.690000
-1.240000	-2.860000
-1.260000	-2.860000
-1.080000	-2.140000
-1.080000	-2.120000
-1.080000	-2.110000
-1.080000	-2.090000
-1.090000	-2.070000
-1.090000	-2.070000
-1.090000	-2.070000
-1.100000	-2.060000
-1.110000	-2.050000
-1.110000	-2.050000
-1.120000	-2.050000
-1.160000	-2.080000
-1.240000	-2.120000
-1.260000	-2.100000
-1.260000	-2.070000
-1.260000	-2.060000
-1.260000	-2.050000
-1.260000	-2.020000
-1.270000	-2.000000
-1.270000	-1.990000
-1.270000	-1.970000
-1.280000	-1.950000
-1.280000	-1.940000
-1.280000	-1.930000
-1.280000	-1.910000
-1.190000	-1.670000
-1.190000	-1.660000
-1.190000	-1.640000
-1.190000	-1.630000
-1.190000	-1.620000
-1.190000	-1.600000
-1.190000	-1.580000
-1.190000	-1.570000
-1.190000	-1.560000
-1.190000	-1.560000
-1.190000	-1.550000
-1.200000	-1.460000
-1.200000	-1.450000
-1.200000	-1.440000
-1.210000	-1.420000
-1.210000	-1.420000
-1.210000	-1.410000
-1.210000	-1.390000
-1.210000	-1.380000
-1.210000	-1.370000
-1.210000	-1.360000
-1.210000	-1.350000
-1.210000	-1.340000
-1.220000	-1.330000
-1.220000	-1.320000
-1.220000	-1.310000
-1.220000	-1.300000
-1.220000	-1.290000
-1.220000	-1.280000
-1.220000	-1.280000
-1.230000	-1.260000
-1.180000	-1.190000
-1.180000	-1.180000
-1.180000	-1.170000
-1.180000	-1.170000
-1.180000	-1.160000
-1.190000	-1.150000
-1.190000	-1.140000
-1.190000	-1.130000
-1.190000	-1.120000
-1.190000	-1.110000
-1.190000	-1.100000
-1.190000	-1.090000
-1.190000	-1.090000
-1.190000	-1.080000
-1.200000	-1.070000
-1.200000	-1.060000
-1.200000	-1.050000
-1.200000	-1.040000
-1.200000	-1.040000
-1.200000	-1.030000
-1.200000	-1.020000
-1.200000	-1.010000
-1.200000	-1.000000
-1.200000	-1.000000
-1.210000	-0.990000
-1.210000	-0.980000
-1.210000	-0.970000
-1.210000	-0.960000
-1.210000	-0.960000
-1.210000	-0.950000
-1.210000	-0.940000
-1.210000	-0.930000
-1.210000	-0.930000
-1.210000	-0.920000
-1.220000	-0.910000
-1.220000	-0.900000
-1.220000	-0.900000
-1.220000	-0.890000
-1.220000	-0.880000
-1.220000	-0.880000
-1.220000	-0.870000
-1.220000	-0.860000
-1.220000	-0.850000
-1.220000	-0.850000
-1.230000	-0.840000
-1.230000	-0.830000
-1.230000	-0.820000
-1.230000	-0.820000
-1.230000	-0.810000
-1.230000	-0.800000
-1.230000	-0.800000
-1.230000	-0.790000
-1.230000	-0.780000
-1.230000	-0.780000
-1.230000	-0.770000
-1.230000	-0.760000
-1.230000	-0.750000
-1.240000	-0.750000
-1.240000	-0.740000
-1.240000	-0.730000
-1.240000	-0.730000
-1.240000	-0.720000
-1.240000	-0.710000
-1.240000	-0.710000
-1.240000	-0.700000
-1.240000	-0.690000
-1.240000	-0.690000
-1.240000	-0.680000
-1.240000	-0.670000
-1.240000	-0.670000
-1.240000	-0.660000
-1.240000	-0.650000
-1.240000	-0.650000
-1.240000	-0.640000
-1.240000	-0.640000
-1.250000	-0.630000
-1.250000	-0.620000
-1.250000	-0.610000
-1.250000	-0.610000
-1.250000	-0.600000
-1.250000	-0.600000
-1.250000	-0.600000
-1.260000	-0.590000
-1.260000	-0.590000
-1.270000	-0.590000
-1.290000	-0.590000
-1.310000	-0.600000
-1.330000	-0.600000
-1.350000	-0.600000
-1.370000	-0.600000
-1.390000	-0.610000
-1.410000	-0.610000
-1.500000	-0.630000
-1.540000	-0.640000
-1.560000	-0.640000
-1.590000	-0.640000
-1.660000	-0.650000
-1.660000	-0.650000
-1.690000	-0.650000
-1.720000	-0.650000
-1.750000	-0.650000
-1.790000	-0.660000
-1.830000	-0.660000
-5.230000	-1.780000
-5.230000	-1.710000
-5.230000	-1.690000
-5.260000	-1.670000
-5.260000	-1.640000
-5.260000	-1.560000
-5.260000	-1.550000
-5.260000	-1.530000
-5.290000	-1.500000
-5.270000	-1.470000
-5.270000	-1.450000
-5.270000	-1.430000
-5.300000	-1.410000
-5.300000	-1.380000
-5.290000	-1.350000
-5.290000	-1.330000
-5.290000	-1.310000
-5.310000	-1.290000
-5.320000	-1.270000
-5.330000	-1.250000
-5.330000	-1.220000
-5.320000	-1.190000
-5.320000	-1.170000
-5.320000	-1.140000
-5.320000	-1.120000
-5.310000	-1.090000
-5.310000	-1.070000
-5.310000	-1.050000
-5.320000	-1.020000
-5.330000	-1.000000
-5.330000	-0.980000
-5.330000	-0.960000
-5.350000	-0.930000
-5.360000	-0.910000
-5.350000	-0.880000
-5.350000	-0.860000
-5.350000	-0.840000
-5.360000	-0.820000
-5.370000	-0.790000
-5.350000	-0.770000
-5.350000	-0.750000
-5.350000	-0.730000
-5.360000	-0.710000
-5.360000	-0.690000
-5.370000	-0.660000
-5.370000	-0.650000
-5.390000	-0.620000
-5.380000	-0.600000
-5.380000	-0.570000
-5.380000	-0.550000
-5.380000	-0.530000
-5.380000	-0.510000
-5.380000	-0.490000
-5.380000	-0.460000
-5.300000	-0.430000
-5.150000	-0.380000
-5.150000	-0.370000
-5.150000	-0.350000
-5.400000	-0.330000
-5.400000	-0.310000
-5.430000	-0.290000
-5.430000	-0.260000
-5.430000	-0.240000
-5.430000	-0.220000
-5.430000	-0.200000
-5.440000	-0.170000
-5.430000	-0.150000
-5.430000	-0.130000
-5.430000	-0.060000
-5.430000	-0.040000
-5.440000	-0.020000
